Booking Reference, Rooms Availability Information
"AYHR171492","You have changed your booking from Mon 21 Jun 2021 for 1 night to Tue 22 Jun 2021 for 1 night. Your new total is £72.00."
"BGIR73460","You have changed your booking from Mon 21 Jun 2021 for 1 night to Wed 23 Jun 2021 for 1 night. Your new total is £74.00."
"BFER85199","You have changed your booking from Mon 21 Jun 2021 for 1 night to Thu 24 Jun 2021 for 1 night. Your new total is £60.00."
"AYHR171905","You have changed your booking from Mon 21 Jun 2021 for 1 night to Fri 25 Jun 2021 for 1 night. Your new total is £77.00."
"AYHR171492","You have changed your booking from Mon 21 Jun 2021 for 1 night to Tue 22 Jun 2021 for 1 night. Your new total is £72.00."
